Volcano Name,lat,lon
Apollinaris_Patera,-9.3,174.4
Elysium_Mons,24.8,147
Cerberus,9,176.6
Olympus_Mons,18.7,-133.9
Arsia_Mons,-9.14,-120.46
Pavonis_Mons,0.662,-112.85
Ascraeus_Mons,11.1,-104.37
Syrtis_Major,9.85,66.4
Tyrrhenia_Patera,-21.32,106.55
Hadriaca_Patera,-30.44,92.18
Peneus_Patera,-58.05,60.76
Amphritites,-58,52.66
Hecates,31.68,150.08
Pityusa_Patera,-66.77,36.87
Malea_Patera,-63.09,50.96
Alba_Patera,39.19,-111.11
Electris,-37.35,-173.21
Eden_Patera,33.6,-11.1
Siloe_Patera,35.2,6.6
Ismenia_Oxus,38.5,0
